Student #, Weighted Score, Disability, Race, FRL, Gender
Student 1: 68.53   No, White, Yes, Male, 
Student 182: 57.33   No, White, No, Female, 
Student 183: 56.91   No, White, Yes, Male, 
Student 184: 70.64   No, Black, No, Male, 
Student 185: 96.58   No, White, No, Female, 
Student 186: 64.59   Yes, White, No, Female, 
Student 187: 75.17   No, White, Yes, Female, 
Student 188: 63.48   No, White, Yes, Female, 
Student 189: 59.12   No, White, No, Female, 
Student 190: 81.48   No, White, No, Female, 
Student 191: 47.26   No, Asian, Yes, Female, 
Student 192: 65.01   No, White, No, Female, 
Student 193: 42.83   No, Hispanic, Yes, Female, 
Student 194: 13.65   No, White, Yes, Female, 
Student 195: 43.25   No, Black, Yes, Female, 
Student 196: 67.49   No, Black, Yes, Female, 
Student 197: 64.41   No, White, No, Female, 
Student 198: 53.24   No, White, Yes, Male, 
Student 199: 58.95   No, Black, No, Male, 
Student 200: 56.91   No, White, No, Female, 
Student 201: 89.93   No, Black, Yes, Female, 
Student 202: 69.79   No, Other, Yes, Female, 
Student 203: 49.74   No, Hispanic, Yes, Female, 
Student 204: 59   No, White, No, Female, 
Student 205: 64.67   No, White, No, Male, 
Student 206: 71.84   No, Black, Yes, Female, 
Student 207: 53.38   No, Black, Yes, Female, 
Student 208: 76.45   No, White, Yes, Female, 
Student 209: 64.45   No, Black, Yes, Male, 
Student 210: 43.36   Yes, Black, Yes, Female, 
Student 211: 86.57   No, White, No, Female, 
Student 212: 73.45   Yes, Hispanic, Yes, Female, 
Student 213: 37.9   No, Black, Yes, Female, 
Student 214: 65.91   Yes, Black, Yes, Female, 
Student 215: 82.3   No, Black, Yes, Male, 
Student 216: 53.83   Yes, Black, Yes, Male, 
Student 217: 64.3   No, White, No, Female, 
Student 218: 74.77   Yes, White, Yes, Male, 
Student 219: 75.81   Yes, White, Yes, Male, 
Student 220: 56.93   No, Black, Yes, Male, 
Student 221: 63.12   Yes, White, No, Female, 
Student 222: 74.63   Yes, White, Yes, Male, 
Student 223: 89.03   No, White, No, Female, 
Student 224: 82.26   Yes, Hispanic, Yes, Female, 
Student 225: 70.68   Yes, Black, Yes, Female, 
Student 226: 57.38   Yes, Black, Yes, Male, 
Student 227: 61.45   Yes, White, Yes, Female, 
Student 228: 80.29   Yes, White, Yes, Male, 
Student 229: 63.79   Yes, White, Yes, Male, 
Student 230: 71.55   No, Black, Yes, Male, 
Student 231: 73.64   Yes, White, Yes, Male, 
Student 232: 77.31   No, Black, Yes, Male, 
Student 233: 42.33   No, Black, Yes, Male, 
Student 234: 54.43   No, Hispanic, Yes, Female, 
Student 235: 61.13   No, Black, Yes, Male, 
Student 236: 63.29   Yes, Other, Yes, Male, 
Student 237: 65.46   No, White, Yes, Female, 
Student 238: 75.56   No, Hispanic, Yes, Male, 
Student 239: 85.45   No, White, Yes, Female, 
Student 240: 80   No, White, No, Female, 
Student 241: 77.93   No, White, Yes, Female, 
Student 242: 95.56   No, White, Yes, Female, 
Student 243: 58.65   No, White, Yes, Female, 
Student 244: 75.87   No, Hispanic, Yes, Female, 
Student 245: 55.97   No, Black, Yes, Male, 
Student 246: 60.2   No, White, No, Female, 
Student 247: 84.02   No, Black, Yes, Male, 
Student 248: 61.75   No, Hispanic, No, Female, 
Student 249: 89.38   No, Black, Yes, Female, 
Student 250: 73.29   No, White, Yes, Female, 
Student 251: 75.14   No, White, Yes, Female, 
Student 252: 41.85   No, Black, Yes, Female, 
Student 253: 88.86   No, Black, No, Female, 
Student 254: 42.06   No, White, Yes, Male, 
Student 255: 57.52   No, Black, Yes, Female, 
Student 256: 65.67   No, Other, Yes, Female, 
Student 257: 73.7   No, Hispanic, Yes, Male, 
Student 258: 91.44   No, Black, No, Female, 
Student 259: 41.75   No, White, Yes, Female, 
Student 260: 45.56   No, Black, Yes, Female, 
Student 261: 75.36   No, White, No, Female, 
Student 262: 85.87   No, White, No, Female, 
Student 263: 64.74   No, Black, Yes, Female, 
Student 264: 71.13   No, Hispanic, Yes, Male, 
Student 265: 77.52   No, Other, Yes, Male, 
Student 266: 83.91   No, White, No, Female, 
Student 267: 42.47   No, Black, Yes, Male, 
Student 268: 38.45   No, Black, Yes, Female, 
Student 269: 63.71   No, White, Yes, Female, 
Student 270: 61.23   No, White, Yes, Female, 
Student 271: 79.27   No, White, No, Female, 
Student 272: 74.02   No, White, No, Male, 
Student 273: 81.03   No, Hispanic, Yes, Female, 
Student 274: 79.27   No, Black, Yes, Female, 
Student 275: 65.36   No, White, Yes, Female, 
Student 276: 35.36   No, Black, Yes, Female, 
Student 277: 73.6   No, Black, No, Female, 
Student 278: 73.81   No, White, Yes, Female, 
Student 279: 85.56   No, White, Yes, Male, 
Student 280: 56.28   No, Black, Yes, Female, 
Student 281: 75.67   No, White, Yes, Female, 
Student 282: 76.18   No, White, Yes, Male, 
Student 283: 72.26   No, Hispanic, Yes, Male, 
Student 284: 74.94   Yes, White, No, Female, 
Student 285: 64.74   No, White, No, Male, 
Student 286: 28.86   No, White, No, Male, 
Student 287: 65.56   No, Black, Yes, Male, 
Student 288: 82.63   Yes, White, Yes, Male, 
Student 289: 80.7   No, Black, Yes, Female, 
Student 290: 70.41   No, White, Yes, Male, 
Student 291: 79.07   No, Black, Yes, Female, 
Student 292: 82.37   No, White, No, Female, 
Student 293: 79.79   No, Asian, No, Female, 
Student 294: 46.59   No, Black, Yes, Male, 
Student 295: 66.39   No, White, No, Male, 
Student 296: 78.45   No, Black, Yes, Female, 
Student 297: 74.22   No, Black, No, Female, 
Student 298: 33.71   No, Black, Yes, Female, 
Student 299: 63.71   No, Black, Yes, Female, 
Student 300: 67.93   No, Black, Yes, Male, 
Student 301: 82.06   No, Hispanic, Yes, Male, 
Student 302: 94.4   No, Black, Yes, Male, 
Student 303: 6.66   No, Black, Yes, Male, 
Student 304: 69.33   No, Black, Yes, Male, 
Student 305: 70.66   Yes, Other, Yes, Male, 
Student 306: 65.06   No, Black, Yes, Female, 
Student 307: 72.13   No, White, Yes, Female, 
Student 308: 76   No, Hispanic, Yes, Male, 
Student 309: 88.8   No, White, Yes, Female, 
Student 310: 78.6   No, White, No, Female, 
Student 311: 72.26   Yes, White, No, Male, 
Student 312: 75.13   No, White, Yes, Female, 
Student 313: 67.26   No, White, Yes, Male, 
Student 314: 70.73   No, Hispanic, Yes, Female, 
Student 315: 73.66   No, White, No, Female, 
Student 316: 38.6   No, Hispanic, Yes, Female, 
Student 317: 74.66   No, White, No, Female, 
Student 318: 82.93   No, Black, Yes, Male, 
Student 319: 93.33   No, Black, Yes, Female, 
Student 320: 39   No, White, Yes, Female, 
Student 321: 14.33   No, Hispanic, Yes, Male, 
Student 322: 83.8   No, White, No, Male, 
Student 323: 91.66   No, White, Yes, Female, 
Student 324: 53.86   No, Black, Yes, Female, 
Student 325: 90.66   No, Black, No, Female, 
Student 326: 93.86   No, White, Yes, Male, 
Student 327: 30.6   No, Black, Yes, Female, 
Student 328: 83.2   No, White, Yes, Female, 
Student 329: 66.53   No, White, Yes, Male, 
Student 330: 67.06   No, Hispanic, Yes, Male, 
Student 331: 49.26   Yes, White, No, Female, 
Student 332: 68.26   No, White, No, Male, 
Student 333: 64.06   No, Black, Yes, Male, 
Student 334: 71.2   Yes, White, Yes, Male, 
Student 335: 69.93   No, White, Yes, Female, 
Student 336: 70.66   No, White, Yes, Male, 
Student 337: 92.66   No, White, No, Female, 
Student 338: 87.53   No, Asian, No, Female, 
Student 339: 15.2   No, White, No, Male, 
Student 340: 79.33   No, Black, No, Female, 
Student 341: 13.6   No, Black, Yes, Female, 
Student 342: 58.93   No, Black, Yes, Male, 
Student 343: 74.13   No, Hispanic, Yes, Male, 
Student 344: 59.2   No, Black, Yes, Female, 
Student 345: 52.2   No, Other, Yes, Female, 
Student 346: 24.53   No, White, Yes, Male, 
Student 347: 82   No, Hispanic, Yes, Male, 
Student 348: 98.15   No, Black, No, Female, 
Student 349: 57.06   No, Black, Yes, Female, 
Student 350: 81.6   No, White, No, Female, 
Student 351: 90.66   No, White, No, Female, 
Student 352: 51.4   No, Black, Yes, Female, 
Student 353: 68.8   No, Hispanic, Yes, Male, 
Student 354: 74.33   No, Other, Yes, Male, 
Student 355: 44.46   No, Black, Yes, Male, 
Student 356: 4.93   No, Black, Yes, Male, 
Student 357: 87.73   No, Black, Yes, Female, 
Student 358: 62.93   No, White, Yes, Female, 
Student 359: 69.4   No, White, Yes, Female, 
Student 360: 76.46   No, White, No, Female, 
Student 361: 87.13   No, White, No, Male, 
Student 362: 83.33   No, Hispanic, Yes, Female, 
Student 363: 76.46   No, Black, Yes, Female, 
Student 364: 70.46   No, White, Yes, Female, 
Student 365: 75.46   No, Black, No, Female, 
Student 366: 47.9   No, Black, Yes, Female, 
Student 367: 59.6   No, Black, Yes, Female, 
Student 368: 67.56   No, Black, Yes, Male, 
Student 369: 3.67   Yes, Black, Yes, Female, 
Student 370: 72.2   No, Black, Yes, Female, 
Student 371: 54.54   No, Black, Yes, Male, 
Student 372: 70.8   No, Other, Yes, Male, 
Student 373: 49.82   No, Black, No, Male, 
Student 374: 39.16   No, Black, Yes, Female, 
Student 375: 56.99   No, Black, Yes, Female, 
Student 376: 66.95   No, Other, Yes, Male, 
Student 377: 63.81   No, White, No, Male, 
Student 378: 75.43   No, White, No, Male, 
Student 379: 80.24   No, Black, Yes, Female, 
Student 380: 62.32   No, White, Yes, Female, 
Student 381: 78.23   No, White, Yes, Male, 
Student 382: 63.54   No, Hispanic, Yes, Female, 
Student 383: 87.76   No, White, Yes, Female, 
Student 384: 51.66   Yes, White, Yes, Male, 
Student 385: 92.74   No, White, No, Female, 
Student 386: 66.17   No, Black, Yes, Female, 
Student 387: 32.69   No, White, Yes, Female, 
Student 388: 48.68   No, White, No, Male, 
Student 389: 76.8   No, Black, Yes, Female, 
Student 390: 36.53   No, White, Yes, Female, 
Student 391: 80.68   No, Hispanic, Yes, Female, 
Student 392: 74.47   No, Hispanic, Yes, Male, 
Student 393: 69.93   No, White, No, Female, 
Student 394: 63.11   No, Black, Yes, Male, 
Student 395: 62.06   No, White, No, Female, 
Student 396: 94.75   No, White, Yes, Female, 
Student 397: 60.48   No, Black, Yes, Female, 
Student 398: 65.9   No, Hispanic, Yes, Female, 
Student 399: 62.93   No, Black, Yes, Female, 
Student 400: 86.71   No, Black, Yes, Male, 
Student 401: 84.52   No, Hispanic, No, Male, 
Student 402: 81.99   No, Black, Yes, Female, 
Student 403: 87.67   No, Asian, No, Female, 
Student 404: 53.75   Yes, Black, Yes, Female, 
Student 405: 70.27   No, White, Yes, Male, 
Student 406: 33.56   No, Hispanic, No, Female, 
Student 407: 96.41   No, White, Yes, Female, 
Student 408: 75.52   No, Hispanic, Yes, Male, 
Student 409: 64.94   No, Black, Yes, Female, 
Student 410: 70.89   No, White, Yes, Female, 
Student 411: 65.29   No, Black, Yes, Female, 
Student 412: 74.56   No, Black, Yes, Female, 
Student 413: 56.29   No, Black, Yes, Male, 
Student 414: 87.58   No, White, No, Male, 
Student 415: 62.23   No, White, No, Female, 
Student 416: 40.91   No, Black, Yes, Female, 
Student 417: 83.41   No, Hispanic, Yes, Female, 
Student 418: 79.83   No, Black, Yes, Female, 
Student 419: 85.5   No, White, Yes, Female, 
Student 420: 69.66   No, Other, Yes, Male, 
Student 421: 75.83   No, Other, Yes, Male, 
Student 422: 33.33   No, White, No, Male, 
Student 423: 59.41   No, Black, Yes, Male, 
Student 424: 73.33   No, Black, Yes, Female, 
Student 425: 83.66   No, White, Yes, Male, 
Student 426: 62.5   No, Hispanic, Yes, Female, 
Student 427: 76.5   No, Other, Yes, Male, 
Student 428: 89.83   No, White, No, Female, 
Student 429: 22.91   No, Black, Yes, Female, 
Student 430: 52.91   No, White, No, Male, 
Student 431: 47.83   No, White, Yes, Male, 
Student 432: 75.25   No, Black, Yes, Female, 
Student 433: 57.83   No, White, Yes, Female, 
Student 434: 94.83   No, Hispanic, Yes, Male, 
Student 435: 60.75   No, Black, Yes, Female, 
Student 436: 68   No, Black, Yes, Male, 
Student 437: 66.41   No, White, No, Female, 
Student 438: 57.25   No, Black, Yes, Male, 
Student 439: 44   No, White, No, Female, 
Student 440: 55.25   No, Black, Yes, Female, 
Student 441: 55.75   No, Hispanic, Yes, Female, 
Student 442: 58.41   No, Black, Yes, Female, 
Student 443: 77.5   No, Black, Yes, Male, 
Student 444: 80   No, Hispanic, No, Male, 
Student 445: 76.5   No, Black, Yes, Female, 
Student 446: 88.91   No, Asian, No, Female, 
Student 447: 62.08   Yes, Black, Yes, Female, 
Student 448: 87.16   No, White, Yes, Female, 
Student 449: 82.75   No, Hispanic, Yes, Male, 
Student 450: 50.91   No, Black, Yes, Female, 
Student 451: 58.25   No, Black, Yes, Female, 
Student 452: 63.41   No, Black, Yes, Male, 
Student 453: 79.41   No, White, No, Male, 
Student 454: 75.3   No, White, No, Male, 
Student 455: 54.32   No, White, No, Male, 
Student 456: 69.62   No, White, Yes, Female, 
Student 457: 53.33   No, Black, Yes, Female, 
Student 458: 45.67   No, Hispanic, Yes, Female, 
Student 459: 69.62   No, White, Yes, Female, 
Student 460: 60   No, Other, No, Male, 
Student 461: 60.74   Yes, Black, No, Male, 
Student 462: 42.71   No, White, No, Male, 
Student 463: 68.88   No, White, No, Male, 
Student 464: 33.58   No, Black, Yes, Male, 
Student 465: 84.93   No, Other, Yes, Male, 
Student 466: 70.86   No, Black, Yes, Female, 
Student 467: 51.11   No, Black, Yes, Female, 
Student 468: 87.16   No, White, No, Male, 
Student 469: 64.93   No, White, Yes, Male, 
Student 470: 79.5   No, White, Yes, Female, 
Student 471: 87.4   No, White, Yes, Female, 
Student 472: 47.4   No, Hispanic, Yes, Female, 
Student 473: 65.43   No, Other, Yes, Female, 
Student 474: 58.51   No, White, Yes, Male, 
Student 475: 66.91   No, White, No, Female, 
Student 476: 80.93   No, White, No, Male, 
Student 477: 67.6   No, White, Yes, Female, 
Student 478: 57.09   No, Hispanic, Yes, Male, 
Student 479: 11.6   No, Black, Yes, Female, 
Student 480: 84.84   No, White, Yes, Female, 
Student 481: 71.27   No, White, Yes, Female, 
Student 482: 50.24   Yes, Black, No, Male, 
Student 483: 68.21   No, White, Yes, Female, 
Student 484: 63.86   No, White, Yes, Female, 
Student 485: 82.51   No, White, No, Male, 
Student 486: 69.19   No, Other, Yes, Male, 
Student 487: 42.17   No, Black, Yes, Male, 
Student 488: 88.99   No, White, No, Male, 
Student 489: 89.24   No, White, Yes, Female, 
Student 490: 55.2   No, Hispanic, Yes, Female, 
Student 491: 52.15   No, Other, Yes, Female, 
Student 492: 38.87   No, White, Yes, Male, 
Student 493: 68.09   No, White, No, Female, 
Student 494: 80.89   No, Black, Yes, Female, 
Student 495: 58.92   No, White, Yes, Male, 
Student 496: 73.48   Yes, White, No, Female, 
Student 497: 74.83   No, White, No, Male, 
Student 498: 70.2   No, Black, Yes, Male, 
Student 499: 79.37   No, Black, Yes, Female, 
Student 500: 25   Yes, Black, Yes, Male, 
Student 501: 68.93   No, Black, Yes, Female, 
Student 502: 86.95   No, White, Yes, Female, 
Student 503: 91.58   No, Black, Yes, Female, 
Student 504: 91.24   No, Black, Yes, Female, 
Student 505: 80.05   No, Hispanic, Yes, Male, 
Student 506: 92.5   No, Black, Yes, Male, 
Student 507: 75   No, Black, Yes, Female, 
Student 508: 76.43   No, Asian, No, Female, 
Student 509: 100.16   No, White, Yes, Female, 
Student 510: 66.32   No, Other, Yes, Male, 
Student 511: 57.4   No, White, Yes, Female, 
Student 512: 95.79   No, White, Yes, Male, 
Student 513: 79.46   Yes, Black, Yes, Male, 
Student 514: 88.29   No, Hispanic, Yes, Female, 
Student 515: 97.55   No, Hispanic, Yes, Male, 
Student 516: 83.5   No, White, Yes, Female, 
Student 517: 52.44   No, Black, Yes, Female, 
Student 518: 63.88   No, White, Yes, Female, 
Student 519: 73.17   No, Black, Yes, Female, 
Student 520: 61.49   No, White, Yes, Male, 
Student 521: 64.63   Yes, White, No, Female, 
Student 522: 76.82   No, White, No, Male, 
Student 523: 72.82   No, Black, Yes, Female, 
Student 524: 55.22   No, Black, Yes, Male, 
Student 525: 64.45   No, Black, Yes, Female, 
Student 526: 52.09   No, Black, Yes, Female, 
Student 527: 77.52   No, White, Yes, Female, 
Student 528: 88.85   No, Black, Yes, Female, 
Student 529: 82.05   No, Black, Yes, Female, 
Student 530: 77.87   No, Hispanic, Yes, Male, 
Student 531: 47.56   No, Black, Yes, Female, 
Student 532: 72.99   No, Asian, No, Female, 
Student 533: 95.81   No, White, Yes, Female, 
Student 534: 69.68   No, Other, Yes, Male, 
Student 535: 63.93   No, White, Yes, Female, 
Student 536: 90.24   No, White, Yes, Male, 
Student 537: 68.98   Yes, Black, Yes, Male, 
Student 538: 45.81   No, Hispanic, Yes, Female, 
Student 539: 91.81   No, Hispanic, Yes, Male, 
Student 540: 75.08   No, White, Yes, Female, 
Student 541: 50.52   No, Black, Yes, Female, 
Student 542: 52.26   No, White, No, Female, 
Student 543: 47.21   No, White, Yes, Female, 
Student 544: 71.59   No, Other, Yes, Female, 
Student 545: 81.68   No, White, No, Female, 
Student 546: 67.97   No, Other, Yes, Female, 
Student 547: 73.82   No, Black, Yes, Female, 
Student 548: 85.39   No, Black, No, Male, 
Student 549: 56.62   No, Black, No, Female, 
Student 550: 75.16   No, White, Yes, Male, 
Student 551: 71.46   No, Hispanic, Yes, Male, 
Student 552: 64.04   No, White, Yes, Female, 
Student 553: 64.94   No, Black, Yes, Male, 
Student 554: 69.1   No, White, No, Male, 
Student 555: 65.39   No, Black, Yes, Male, 
Student 556: 66.06   No, Black, No, Male, 
Student 557: 24.94   No, Black, Yes, Female, 
Student 558: 73.59   No, Black, Yes, Male, 
Student 559: 82.47   No, Black, Yes, Female, 
Student 560: 60.67   No, White, No, Male, 
Student 561: 56.21   Yes, Hispanic, Yes, Male, 
Student 562: 68.2   No, White, No, Female, 
Student 563: 79.43   No, Black, No, Male, 
Student 564: 59.66   No, White, No, Male, 
Student 565: 61.57   No, Black, Yes, Male, 
Student 566: 79.22   Yes, Black, No, Male, 
Student 567: 71.34   No, White, Yes, Female, 
Student 568: 61.12   No, Black, No, Female, 
Student 569: 90.12   No, White, No, Female, 
Student 570: 84.62   No, Other, Yes, Female, 
Student 571: 68.12   No, Black, Yes, Female, 
Student 572: 72.5   No, Black, Yes, Female, 
Student 573: 56.25   No, Black, No, Female, 
Student 574: 75.5   No, White, Yes, Male, 
Student 575: 85.62   Yes, White, No, Male, 
Student 576: 78.12   No, Hispanic, Yes, Male, 
Student 577: 68.12   No, Black, Yes, Male, 
Student 578: 86.12   No, White, No, Male, 
Student 579: 77.62   No, Black, No, Male, 
Student 580: 46.25   No, White, Yes, Male, 
Student 581: 61.5   No, White, No, Male, 
Student 582: 57.62   Yes, Hispanic, Yes, Male, 
Student 583: 69   No, White, No, Female, 
Student 584: 76.37   No, Black, No, Male, 
Student 585: 75.62   No, White, No, Male, 
Student 586: 85.37   No, White, Yes, Female, 
Student 587: 66.51   No, Hispanic, Yes, Male, 
Student 588: 46.3   No, Black, Yes, Male, 
Student 589: 70.09   No, White, Yes, Male, 
Student 590: 58.66   No, Black, No, Female, 
Student 591: 51.03   Yes, White, Yes, Male, 
Student 592: 72.86   No, White, No, Female, 
Student 593: 64.78   No, Hispanic, Yes, Male, 
Student 594: 83.37   Yes, White, No, Male, 
Student 595: 29.67   Yes, Black, Yes, Male, 
Student 596: 95.38   No, Black, Yes, Male, 
Student 597: 95.03   No, Hispanic, Yes, Male, 
Student 598: 36.48   Yes, Black, Yes, Male, 
Student 599: 75.28   Yes, White, Yes, Male, 
Student 600: 91.22   No, White, Yes, Male, 
Student 601: 39.95   Yes, White, Yes, Female, 
Student 602: 70.55   No, White, Yes, Female, 
Student 603: 83.14   No, Hispanic, Yes, Male, 
Student 604: 80.94   No, White, No, Male, 
Student 605: 91.1   No, Black, Yes, Female, 
Student 606: 46.53   Yes, White, Yes, Male, 
Student 607: 82.56   No, White, No, Male, 
Student 608: 91.68   No, White, No, Male, 
Student 609: 69.28   No, Hispanic, Yes, Male, 
Student 610: 91.68   Yes, White, Yes, Male, 
Student 611: 76.78   No, White, Yes, Male, 
Student 612: 75.28   No, Hispanic, Yes, Male, 
Student 613: 88.68   No, White, Yes, Male, 
Student 614: 91.45   No, White, Yes, Male, 
Student 615: 92.37   No, White, Yes, Female, 
Student 616: 73.32   No, Other, Yes, Female, 
Student 617: 86.48   No, White, Yes, Male, 
Student 618: 67.55   No, Black, Yes, Male, 
Student 619: 81.87   No, Black, Yes, Male, 
Student 620: 74.48   No, Black, Yes, Male, 
Student 621: 91.91   No, White, Yes, Female, 
Student 622: 51.38   No, Black, Yes, Female, 
Student 623: 96.3   No, Black, Yes, Female, 
Student 624: 3.11   No, White, Yes, Female, 
Student 625: 73.9   No, White, Yes, Male, 
Student 626: 71.82   No, Other, Yes, Female, 
Student 627: 74.01   No, Other, Yes, Male, 
Student 628: 84.29   No, White, No, Female, 
Student 629: 78.4   No, Hispanic, Yes, Male, 
Student 630: 84.87   No, White, No, Male, 
Student 631: 84.52   No, White, Yes, Male, 
Student 632: 82.56   No, White, Yes, Female, 
Student 633: 2.42   Yes, Hispanic, Yes, Male, 
Student 634: 65.6   No, Hispanic, Yes, Male, 
Student 635: 15.33   No, Black, Yes, Male, 
Student 636: 48.8   No, Black, No, Female, 
Student 637: 29.2   Yes, Hispanic, Yes, Female, 
Student 638: 79.93   No, White, No, Female, 
Student 639: 75.2   No, Hispanic, Yes, Male, 
