Student #, Weighted Score, Disability, Race, FRL, Gender
Student 1: 70.445   No, White, Yes, Male, 
Student 199: 62.424   No, Black, No, Male, 
Student 200: 67.996   No, White, No, Female, 
Student 201: 94.087   No, Black, Yes, Female, 
Student 202: 70.384   No, Other, Yes, Female, 
Student 203: 53.277   No, Hispanic, Yes, Female, 
Student 204: 71.876   No, White, No, Female, 
Student 205: 73.504   No, White, No, Male, 
Student 206: 78.506   No, Black, Yes, Female, 
Student 207: 66.961   No, Black, Yes, Female, 
Student 208: 78.023   No, White, Yes, Female, 
Student 209: 67.755   No, Black, Yes, Male, 
Student 210: 40.95   Yes, Black, Yes, Female, 
Student 211: 87.355   No, White, No, Female, 
Student 212: 79.349   Yes, Hispanic, Yes, Female, 
Student 213: 40.597   No, Black, Yes, Female, 
Student 214: 61.139   Yes, Black, Yes, Female, 
Student 215: 68.97   No, Black, Yes, Male, 
Student 216: 54.605   Yes, Black, Yes, Male, 
Student 217: 70.205   No, White, No, Female, 
Student 218: 80.161   Yes, White, Yes, Male, 
Student 219: 84.529   Yes, White, Yes, Male, 
Student 220: 67.934   No, Black, Yes, Male, 
Student 221: 68.911   Yes, White, No, Female, 
Student 222: 75.456   Yes, White, Yes, Male, 
Student 223: 89.138   No, White, No, Female, 
Student 224: 78.238   Yes, Hispanic, Yes, Female, 
Student 225: 67.377   Yes, Black, Yes, Female, 
Student 226: 59.652   Yes, Black, Yes, Male, 
Student 227: 61.002   Yes, White, Yes, Female, 
Student 228: 82.964   Yes, White, Yes, Male, 
Student 229: 73.971   Yes, White, Yes, Male, 
Student 230: 75.62   No, Black, Yes, Male, 
Student 231: 73.539   Yes, White, Yes, Male, 
Student 232: 74.267   No, Black, Yes, Male, 
Student 233: 42.465   No, Black, Yes, Male, 
Student 234: 54.63   No, Hispanic, Yes, Female, 
Student 235: 68.046   No, Black, Yes, Male, 
Student 236: 71.984   Yes, Other, Yes, Male, 
Student 237: 75.471   No, White, Yes, Female, 
Student 238: 71.712   No, Hispanic, Yes, Male, 
Student 239: 87.48   No, White, Yes, Female, 
Student 240: 86.008   No, White, No, Female, 
Student 241: 79.782   No, White, Yes, Female, 
Student 242: 95.05   No, White, Yes, Female, 
Student 243: 61.792   No, White, Yes, Female, 
Student 244: 78.581   No, Hispanic, Yes, Female, 
Student 245: 59.505   No, Black, Yes, Male, 
Student 246: 65.155   No, White, No, Female, 
Student 247: 83.387   No, Black, Yes, Male, 
Student 248: 52.746   No, Hispanic, No, Female, 
Student 249: 90.877   No, Black, Yes, Female, 
Student 250: 60.27   No, White, Yes, Female, 
Student 251: 66.974   No, White, Yes, Female, 
Student 252: 46.383   No, Black, Yes, Female, 
Student 253: 91.052   No, Black, No, Female, 
Student 254: 35.851   No, White, Yes, Male, 
Student 255: 64.616   No, Black, Yes, Female, 
Student 256: 65.718   No, Other, Yes, Female, 
Student 257: 64.974   No, Hispanic, Yes, Male, 
Student 258: 91.684   No, Black, No, Female, 
Student 259: 38.069   No, White, Yes, Female, 
Student 260: 59.598   No, Black, Yes, Female, 
Student 261: 76.432   No, White, No, Female, 
Student 262: 90.097   No, White, No, Female, 
Student 263: 63.437   No, Black, Yes, Female, 
Student 264: 67.525   No, Hispanic, Yes, Male, 
Student 265: 78.286   No, Other, Yes, Male, 
Student 266: 85.001   No, White, No, Female, 
Student 267: 43.025   No, Black, Yes, Male, 
Student 268: 36.862   No, Black, Yes, Female, 
Student 269: 71.223   No, White, Yes, Female, 
Student 270: 69.246   No, White, Yes, Female, 
Student 271: 84.749   No, White, No, Female, 
Student 272: 78.287   No, White, No, Male, 
Student 273: 82.887   No, Hispanic, Yes, Female, 
Student 274: 81.154   No, Black, Yes, Female, 
Student 275: 72.92   No, White, Yes, Female, 
Student 276: 30.124   No, Black, Yes, Female, 
Student 277: 80.41   No, Black, No, Female, 
Student 278: 75.543   No, White, Yes, Female, 
Student 279: 82.34   No, White, Yes, Male, 
Student 280: 48.706   No, Black, Yes, Female, 
Student 281: 83.627   No, White, Yes, Female, 
Student 282: 71.79   No, White, Yes, Male, 
Student 283: 76.98   No, Hispanic, Yes, Male, 
Student 284: 72.435   Yes, White, No, Female, 
Student 285: 64.75   No, White, No, Male, 
Student 286: 30.243   No, White, No, Male, 
Student 287: 71.365   No, Black, Yes, Male, 
Student 288: 91.114   Yes, White, Yes, Male, 
Student 289: 82.552   No, Black, Yes, Female, 
Student 290: 59.865   No, White, Yes, Male, 
Student 291: 81.999   No, Black, Yes, Female, 
Student 292: 88.475   No, White, No, Female, 
Student 293: 85.451   No, Asian, No, Female, 
Student 294: 37.455   No, Black, Yes, Male, 
Student 295: 60.793   No, White, No, Male, 
Student 296: 72.034   No, Black, Yes, Female, 
Student 297: 80.174   No, Black, No, Female, 
Student 298: 41.784   No, Black, Yes, Female, 
Student 299: 70.73   No, Black, Yes, Female, 
Student 300: 72.102   No, Black, Yes, Male, 
Student 301: 83.358   No, Hispanic, Yes, Male, 
Student 302: 91.637   No, Black, Yes, Male, 
Student 303: 13.621   No, Black, Yes, Male, 
Student 304: 74.905   No, Black, Yes, Male, 
Student 305: 76.774   Yes, Other, Yes, Male, 
Student 306: 61.443   No, Black, Yes, Female, 
Student 307: 75.303   No, White, Yes, Female, 
Student 308: 73.657   No, Hispanic, Yes, Male, 
Student 309: 88.091   No, White, Yes, Female, 
Student 310: 83.644   No, White, No, Female, 
Student 311: 66.717   Yes, White, No, Male, 
Student 312: 71.986   No, White, Yes, Female, 
Student 313: 62.266   No, White, Yes, Male, 
Student 314: 66.614   No, Hispanic, Yes, Female, 
Student 315: 68.932   No, White, No, Female, 
Student 316: 35.491   No, Hispanic, Yes, Female, 
Student 317: 72.521   No, White, No, Female, 
Student 318: 79.544   No, Black, Yes, Male, 
Student 319: 90.953   No, Black, Yes, Female, 
Student 320: 35.752   No, White, Yes, Female, 
Student 321: 14.333   No, Hispanic, Yes, Male, 
Student 322: 78.227   No, White, No, Male, 
Student 323: 84.238   No, White, Yes, Female, 
Student 324: 59.518   No, Black, Yes, Female, 
Student 325: 90.253   No, Black, No, Female, 
Student 326: 84.947   No, White, Yes, Male, 
Student 327: 30.443   No, Black, Yes, Female, 
Student 328: 87.361   No, White, Yes, Female, 
Student 329: 63.71   No, White, Yes, Male, 
Student 330: 71.523   No, Hispanic, Yes, Male, 
Student 331: 47.53   Yes, White, No, Female, 
Student 332: 62.729   No, White, No, Male, 
Student 333: 69.048   No, Black, Yes, Male, 
Student 334: 70.891   Yes, White, Yes, Male, 
Student 335: 66.234   No, White, Yes, Female, 
Student 336: 63.949   No, White, Yes, Male, 
Student 337: 94.092   No, White, No, Female, 
Student 338: 91.152   No, Asian, No, Female, 
Student 339: 18.268   No, White, No, Male, 
Student 340: 79.351   No, Black, No, Female, 
Student 341: 23.793   No, Black, Yes, Female, 
Student 342: 59.617   No, Black, Yes, Male, 
Student 343: 72.912   No, Hispanic, Yes, Male, 
Student 344: 64.295   No, Black, Yes, Female, 
Student 345: 50.887   No, Other, Yes, Female, 
Student 346: 22.335   No, White, Yes, Male, 
Student 347: 72.968   No, Hispanic, Yes, Male, 
Student 348: 92.463   No, Black, No, Female, 
Student 349: 59.601   No, Black, Yes, Female, 
Student 350: 75.543   No, White, No, Female, 
Student 351: 91.614   No, White, No, Female, 
Student 352: 53.179   No, Black, Yes, Female, 
Student 353: 66.643   No, Hispanic, Yes, Male, 
Student 354: 76.385   No, Other, Yes, Male, 
Student 355: 46.281   No, Black, Yes, Male, 
Student 356: 12.96   No, Black, Yes, Male, 
Student 357: 83.156   No, Black, Yes, Female, 
Student 358: 69.026   No, White, Yes, Female, 
Student 359: 72.761   No, White, Yes, Female, 
Student 360: 75.997   No, White, No, Female, 
Student 361: 87.158   No, White, No, Male, 
Student 362: 84.507   No, Hispanic, Yes, Female, 
Student 363: 76.892   No, Black, Yes, Female, 
Student 364: 74.992   No, White, Yes, Female, 
Student 365: 81.24   No, Black, No, Female, 
Student 366: 59.589   No, Black, Yes, Female, 
Student 367: 56.228   No, Black, Yes, Female, 
Student 368: 70.288   No, Black, Yes, Male, 
Student 369: 8.066   Yes, Black, Yes, Female, 
Student 370: 76.498   No, Black, Yes, Female, 
Student 371: 59.927   No, Black, Yes, Male, 
Student 372: 79.074   No, Other, Yes, Male, 
Student 373: 46.532   No, Black, No, Male, 
Student 374: 33.163   No, Black, Yes, Female, 
Student 375: 54.803   No, Black, Yes, Female, 
Student 376: 68.654   No, Other, Yes, Male, 
Student 377: 60.73   No, White, No, Male, 
Student 378: 69.249   No, White, No, Male, 
Student 379: 84.117   No, Black, Yes, Female, 
Student 380: 66.256   No, White, Yes, Female, 
Student 381: 77.715   No, White, Yes, Male, 
Student 382: 70.917   No, Hispanic, Yes, Female, 
Student 383: 80.635   No, White, Yes, Female, 
Student 384: 42.825   Yes, White, Yes, Male, 
Student 385: 94.165   No, White, No, Female, 
Student 386: 69.697   No, Black, Yes, Female, 
Student 387: 36.146   No, White, Yes, Female, 
Student 388: 59.712   No, White, No, Male, 
Student 389: 75.827   No, Black, Yes, Female, 
Student 390: 51.509   No, White, Yes, Female, 
Student 391: 76.785   No, Hispanic, Yes, Female, 
Student 392: 63.872   No, Hispanic, Yes, Male, 
Student 393: 76.125   No, White, No, Female, 
Student 394: 65.015   No, Black, Yes, Male, 
Student 395: 65.279   No, White, No, Female, 
Student 396: 93.68   No, White, Yes, Female, 
Student 397: 55.177   No, Black, Yes, Female, 
Student 398: 72.103   No, Hispanic, Yes, Female, 
Student 399: 69.656   No, Black, Yes, Female, 
Student 400: 88.853   No, Black, Yes, Male, 
Student 401: 85.828   No, Hispanic, No, Male, 
Student 402: 71.918   No, Black, Yes, Female, 
Student 403: 91.449   No, Asian, No, Female, 
Student 404: 60.374   Yes, Black, Yes, Female, 
Student 405: 62.907   No, White, Yes, Male, 
Student 406: 39.85   No, Hispanic, No, Female, 
Student 407: 93.806   No, White, Yes, Female, 
Student 408: 68.833   No, Hispanic, Yes, Male, 
Student 409: 69.47   No, Black, Yes, Female, 
Student 410: 77.643   No, White, Yes, Female, 
Student 411: 74.353   No, Black, Yes, Female, 
Student 412: 77.796   No, Black, Yes, Female, 
Student 413: 53.808   No, Black, Yes, Male, 
Student 414: 91.19   No, White, No, Male, 
Student 415: 72.391   No, White, No, Female, 
Student 416: 41.168   No, Black, Yes, Female, 
Student 417: 86.062   No, Hispanic, Yes, Female, 
Student 418: 85.727   No, Black, Yes, Female, 
Student 419: 80.19   No, White, Yes, Female, 
Student 420: 78.633   No, Other, Yes, Male, 
Student 421: 76.248   No, Other, Yes, Male, 
Student 422: 41.935   No, White, No, Male, 
Student 423: 62.365   No, Black, Yes, Male, 
Student 424: 78.764   No, Black, Yes, Female, 
Student 425: 83.355   No, White, Yes, Male, 
Student 426: 70.253   No, Hispanic, Yes, Female, 
Student 427: 72.423   No, Other, Yes, Male, 
Student 428: 92.985   No, White, No, Female, 
Student 429: 30.603   No, Black, Yes, Female, 
Student 430: 62.227   No, White, No, Male, 
Student 431: 50.178   No, White, Yes, Male, 
Student 432: 73.467   No, Black, Yes, Female, 
Student 433: 59.794   No, White, Yes, Female, 
Student 434: 79.657   No, Hispanic, Yes, Male, 
Student 435: 60.477   No, Black, Yes, Female, 
Student 436: 66.186   No, Black, Yes, Male, 
Student 437: 74.973   No, White, No, Female, 
Student 438: 53.592   No, Black, Yes, Male, 
Student 439: 48.576   No, White, No, Female, 
Student 440: 55.556   No, Black, Yes, Female, 
Student 441: 53.05   No, Hispanic, Yes, Female, 
Student 442: 65.085   No, Black, Yes, Female, 
Student 443: 81.418   No, Black, Yes, Male, 
Student 444: 84.08   No, Hispanic, No, Male, 
Student 445: 74.401   No, Black, Yes, Female, 
Student 446: 91.332   No, Asian, No, Female, 
Student 447: 64.849   Yes, Black, Yes, Female, 
Student 448: 81.64   No, White, Yes, Female, 
Student 449: 80.764   No, Hispanic, Yes, Male, 
Student 450: 57.639   No, Black, Yes, Female, 
Student 451: 66.185   No, Black, Yes, Female, 
Student 452: 59.031   No, Black, Yes, Male, 
Student 453: 82.309   No, White, No, Male, 
Student 454: 77.502   No, White, No, Male, 
Student 455: 60.688   No, White, No, Male, 
Student 456: 77.908   No, White, Yes, Female, 
Student 457: 62.083   No, Black, Yes, Female, 
Student 458: 54.349   No, Hispanic, Yes, Female, 
Student 459: 75.765   No, White, Yes, Female, 
Student 460: 70.348   No, Other, No, Male, 
Student 461: 68.708   Yes, Black, No, Male, 
Student 462: 54.689   No, White, No, Male, 
Student 463: 75.676   No, White, No, Male, 
Student 464: 51.172   No, Black, Yes, Male, 
Student 465: 88.021   No, Other, Yes, Male, 
Student 466: 72.808   No, Black, Yes, Female, 
Student 467: 63.475   No, Black, Yes, Female, 
Student 468: 89.804   No, White, No, Male, 
Student 469: 67.675   No, White, Yes, Male, 
Student 470: 86.442   No, White, Yes, Female, 
Student 471: 91.94   No, White, Yes, Female, 
Student 472: 60.29   No, Hispanic, Yes, Female, 
Student 473: 61.26   No, Other, Yes, Female, 
Student 474: 69.909   No, White, Yes, Male, 
Student 475: 76.043   No, White, No, Female, 
Student 476: 83.631   No, White, No, Male, 
Student 477: 74.892   No, White, Yes, Female, 
Student 478: 60.756   No, Hispanic, Yes, Male, 
Student 479: 18.6   No, Black, Yes, Female, 
Student 480: 89.55   No, White, Yes, Female, 
Student 481: 74.871   No, White, Yes, Female, 
Student 482: 54.61   Yes, Black, No, Male, 
Student 483: 72.779   No, White, Yes, Female, 
Student 484: 75.246   No, White, Yes, Female, 
Student 485: 81.789   No, White, No, Male, 
Student 486: 74.989   No, Other, Yes, Male, 
Student 487: 50.552   No, Black, Yes, Male, 
Student 488: 90.161   No, White, No, Male, 
Student 489: 93.1   No, White, Yes, Female, 
Student 490: 63.908   No, Hispanic, Yes, Female, 
Student 491: 54.593   No, Other, Yes, Female, 
Student 492: 56.453   No, White, Yes, Male, 
Student 493: 73.695   No, White, No, Female, 
Student 494: 86.292   No, Black, Yes, Female, 
Student 495: 65.033   No, White, Yes, Male, 
Student 496: 75.911   Yes, White, No, Female, 
Student 497: 76.849   No, White, No, Male, 
Student 498: 71.468   No, Black, Yes, Male, 
Student 499: 82.297   No, Black, Yes, Female, 
Student 500: 33.958   Yes, Black, Yes, Male, 
Student 501: 76.207   No, Black, Yes, Female, 
Student 502: 90.463   No, White, Yes, Female, 
Student 503: 89.581   No, Black, Yes, Female, 
Student 504: 93.868   No, Black, Yes, Female, 
Student 505: 85.961   No, Hispanic, Yes, Male, 
Student 506: 93.257   No, Black, Yes, Male, 
Student 507: 79.863   No, Black, Yes, Female, 
Student 508: 80.687   No, Asian, No, Female, 
Student 509: 100.112   No, White, Yes, Female, 
Student 510: 62.828   No, Other, Yes, Male, 
Student 511: 67.557   No, White, Yes, Female, 
Student 512: 97.053   No, White, Yes, Male, 
Student 513: 81.126   Yes, Black, Yes, Male, 
Student 514: 88.558   No, Hispanic, Yes, Female, 
Student 515: 97.631   No, Hispanic, Yes, Male, 
Student 516: 87.972   No, White, Yes, Female, 
Student 517: 61.594   No, Black, Yes, Female, 
Student 518: 70.99   No, White, Yes, Female, 
Student 519: 80.373   No, Black, Yes, Female, 
Student 520: 62.602   No, White, Yes, Male, 
Student 521: 69.475   Yes, White, No, Female, 
Student 522: 78.826   No, White, No, Male, 
Student 523: 76.161   No, Black, Yes, Female, 
Student 524: 65.316   No, Black, Yes, Male, 
Student 525: 65.412   No, Black, Yes, Female, 
Student 526: 61.407   No, Black, Yes, Female, 
Student 527: 79.868   No, White, Yes, Female, 
Student 528: 85.065   No, Black, Yes, Female, 
Student 529: 83.916   No, Black, Yes, Female, 
Student 530: 83.726   No, Hispanic, Yes, Male, 
Student 531: 59.567   No, Black, Yes, Female, 
Student 532: 74.541   No, Asian, No, Female, 
Student 533: 96.832   No, White, Yes, Female, 
Student 534: 67.004   No, Other, Yes, Male, 
Student 535: 74.657   No, White, Yes, Female, 
Student 536: 93.168   No, White, Yes, Male, 
Student 537: 74.588   Yes, Black, Yes, Male, 
Student 538: 41.049   No, Hispanic, Yes, Female, 
Student 539: 92.428   No, Hispanic, Yes, Male, 
Student 540: 81.38   No, White, Yes, Female, 
Student 541: 62.192   No, Black, Yes, Female, 
Student 542: 62.784   No, White, No, Female, 
Student 543: 61.875   No, White, Yes, Female, 
Student 544: 67.137   No, Other, Yes, Female, 
Student 545: 87.83   No, White, No, Female, 
Student 546: 76.005   No, Other, Yes, Female, 
Student 547: 76.051   No, Black, Yes, Female, 
Student 548: 87.846   No, Black, No, Male, 
Student 549: 67.568   No, Black, No, Female, 
Student 550: 75.493   No, White, Yes, Male, 
Student 551: 73.981   No, Hispanic, Yes, Male, 
Student 552: 74.793   No, White, Yes, Female, 
Student 553: 72.753   No, Black, Yes, Male, 
Student 554: 70.087   No, White, No, Male, 
Student 555: 68.728   No, Black, Yes, Male, 
Student 556: 73.217   No, Black, No, Male, 
Student 557: 32.784   No, Black, Yes, Female, 
Student 558: 80.258   No, Black, Yes, Male, 
Student 559: 88.383   No, Black, Yes, Female, 
Student 560: 71.037   No, White, No, Male, 
Student 561: 67.071   Yes, Hispanic, Yes, Male, 
Student 562: 75.748   No, White, No, Female, 
Student 563: 72.722   No, Black, No, Male, 
Student 564: 70.835   No, White, No, Male, 
Student 565: 70.737   No, Black, Yes, Male, 
Student 566: 81.351   Yes, Black, No, Male, 
Student 567: 80.592   No, White, Yes, Female, 
Student 568: 67.226   No, Black, No, Female, 
Student 569: 93.194   No, White, No, Female, 
Student 570: 88.998   No, Other, Yes, Female, 
Student 571: 67.367   No, Black, Yes, Female, 
Student 572: 73.559   No, Black, Yes, Female, 
Student 573: 63.824   No, Black, No, Female, 
Student 574: 73.566   No, White, Yes, Male, 
Student 575: 85.76   Yes, White, No, Male, 
Student 576: 78.551   No, Hispanic, Yes, Male, 
Student 577: 74.836   No, Black, Yes, Male, 
Student 578: 88.918   No, White, No, Male, 
Student 579: 81.551   No, Black, No, Male, 
Student 580: 41.903   No, White, Yes, Male, 
Student 581: 70.14   No, White, No, Male, 
Student 582: 66.821   Yes, Hispanic, Yes, Male, 
Student 583: 68.279   No, White, No, Female, 
Student 584: 66.772   No, Black, No, Male, 
Student 585: 79.37   No, White, No, Male, 
Student 586: 89.759   No, White, Yes, Female, 
Student 587: 64.786   No, Hispanic, Yes, Male, 
Student 588: 48.437   No, Black, Yes, Male, 
Student 589: 72.565   No, White, Yes, Male, 
Student 590: 52.644   No, Black, No, Female, 
Student 591: 43.11   Yes, White, Yes, Male, 
Student 592: 77.485   No, White, No, Female, 
Student 593: 61.939   No, Hispanic, Yes, Male, 
Student 594: 76.559   Yes, White, No, Male, 
Student 595: 27.392   Yes, Black, Yes, Male, 
Student 596: 91.217   No, Black, Yes, Male, 
Student 597: 92.903   No, Hispanic, Yes, Male, 
Student 598: 31.953   Yes, Black, Yes, Male, 
Student 599: 62.825   Yes, White, Yes, Male, 
Student 600: 87.551   No, White, Yes, Male, 
Student 601: 38.439   Yes, White, Yes, Female, 
Student 602: 60.243   No, White, Yes, Female, 
Student 603: 78.662   No, Hispanic, Yes, Male, 
Student 604: 67.126   No, White, No, Male, 
Student 605: 89.38   No, Black, Yes, Female, 
Student 606: 49.711   Yes, White, Yes, Male, 
Student 607: 76.21   No, White, No, Male, 
Student 608: 93.297   No, White, No, Male, 
Student 609: 61.525   No, Hispanic, Yes, Male, 
Student 610: 80.878   Yes, White, Yes, Male, 
Student 611: 76.091   No, White, Yes, Male, 
Student 612: 65.211   No, Hispanic, Yes, Male, 
Student 613: 83.593   No, White, Yes, Male, 
Student 614: 88.34   No, White, Yes, Male, 
Student 615: 87.976   No, White, Yes, Female, 
Student 616: 72.713   No, Other, Yes, Female, 
Student 617: 78.866   No, White, Yes, Male, 
Student 618: 64.767   No, Black, Yes, Male, 
Student 619: 80.182   No, Black, Yes, Male, 
Student 620: 73.378   No, Black, Yes, Male, 
Student 621: 90.458   No, White, Yes, Female, 
Student 622: 47.82   No, Black, Yes, Female, 
Student 623: 96.347   No, Black, Yes, Female, 
Student 624: 13.528   No, White, Yes, Female, 
Student 625: 70.039   No, White, Yes, Male, 
Student 626: 72.433   No, Other, Yes, Female, 
Student 627: 69.874   No, Other, Yes, Male, 
Student 628: 85.514   No, White, No, Female, 
Student 629: 80.997   No, Hispanic, Yes, Male, 
Student 630: 85.007   No, White, No, Male, 
Student 631: 83.1   No, White, Yes, Male, 
Student 632: 80.317   No, White, Yes, Female, 
Student 633: 4.541   Yes, Hispanic, Yes, Male, 
Student 634: 64.996   No, Hispanic, Yes, Male, 
Student 635: 17.075   No, Black, Yes, Male, 
Student 636: 45.03   No, Black, No, Female, 
Student 637: 28.055   Yes, Hispanic, Yes, Female, 
